name	is_regular	game_count	win_count	fry_count	real_losses	net_score	win_fraction	fry_fraction	real_losses_per_game	net_score_per_game
C	True	1000	233	33	3474	2843	0.233	0.033	3.474	2.843
H	True	759	193	37	3105	136	0.25428194993412384	0.048748353096179184	4.090909090909091	0.17918313570487485
T	True	477	130	23	1952	-39	0.27253668763102723	0.04821802935010482	4.0922431865828095	-0.08176100628930817
S	True	621	165	31	2688	-150	0.26570048309178745	0.0499194847020934	4.328502415458937	-0.24154589371980675
Js	True	400	91	17	1790	-912	0.2275	0.0425	4.475	-2.28
Jj	True	479	121	35	2258	-435	0.25260960334029225	0.07306889352818371	4.713987473903966	-0.9081419624217119
L	True	338	88	28	1696	-866	0.2603550295857988	0.08284023668639054	5.017751479289941	-2.562130177514793
CA	False	17	5	0	41	51	0.29411764705882354	0.0	2.411764705882353	3.0
DC	False	6	2	0	15	7	0.3333333333333333	0.0	2.5	1.1666666666666667
LS	False	7	2	0	18	-8	0.2857142857142857	0.0	2.5714285714285716	-1.1428571428571428
CD	False	3	0	0	9	-4	0.0	0.0	3.0	-1.3333333333333333
JL	False	23	7	1	80	68	0.30434782608695654	0.043478260869565216	3.4782608695652173	2.9565217391304346
JG	False	71	20	2	247	145	0.28169014084507044	0.028169014084507043	3.4788732394366195	2.0422535211267605
JD	False	12	0	0	43	-6	0.0	0.0	3.5833333333333335	-0.5
AW	False	20	4	1	80	-112	0.2	0.05	4.0	-5.6
MW	False	118	27	8	580	-371	0.2288135593220339	0.06779661016949153	4.915254237288136	-3.1440677966101696
JP	False	45	13	5	234	-106	0.28888888888888886	0.1111111111111111	5.2	-2.3555555555555556
RH	False	4	0	0	23	-45	0.0	0.0	5.75	-11.25
LL	False	9	2	1	60	-50	0.2222222222222222	0.1111111111111111	6.666666666666667	-5.555555555555555
A	False	7	1	2	89	-146	0.14285714285714285	0.2857142857142857	12.714285714285714	-20.857142857142858
*	True	4416	1104	224	18482	0	0.25	0.050724637681159424	4.185235507246377	0.0
